AI精选ID,AI精选标题,摘要,原始新闻ID,原始新闻标题,来源,URL,爬取时间,AI精选创建时间,AI精选更新时间
82,【AI大模型】中央广播电视总台发布AI十大趋势，聚焦治理与具身智能,,1123,AI 治理全球化、具身智能化，中央广播电视总台发布 2026 年人工智能十大趋势,it之家,https://www.ithome.com/0/911/797.htm,2026-01-09 11:18:34.877371,2026-01-09 12:15:31.783013,2026-01-09 12:15:31.783013
81,【数码新品】歌尔CES展示AI眼镜外挂配件，普通眼镜秒变智能,,1188,普通眼镜秒变 AI 眼镜：歌尔 CES 2026 展示外挂配件 Rox-Vision，还有超轻百克 MR 头显,it之家,https://www.ithome.com/0/911/810.htm,2026-01-09 11:48:34.075291,2026-01-09 12:15:31.781881,2026-01-09 12:15:31.781881
80,【AI大模型】M5 Ultra芯片引爆台积电产能，苹果英伟达竞争升级,,1189,消息称 M5 Ultra 芯片引爆台积电产能争夺，苹果英伟达终有一战,it之家,https://www.ithome.com/0/911/809.htm,2026-01-09 11:48:34.075337,2026-01-09 12:15:31.760668,2026-01-09 12:15:31.760668
79,【投资市场】黄金储备30年来首超美债,,701,黄金成全球最大储备资产，30年来首次超越美债！,华尔街见闻,https://wallstreetcn.com/articles/3762855,2026-01-09 08:48:34.331709,2026-01-09 10:15:31.351492,2026-01-09 10:15:31.351492
78,【投资市场】人民币中间价调升69基点,,878,1月9日人民币对美元中间价调升69个基点,36氪-快讯,https://www.36kr.com/newsflashes/3631504465380359,2026-01-09 09:48:35.615652,2026-01-09 10:15:31.350272,2026-01-09 10:15:31.350272
77,【投资市场】央行开展340亿7天逆回购操作,,875,央行公开市场开展340亿元7天期逆回购操作,36氪-快讯,https://www.36kr.com/newsflashes/3631516024784133,2026-01-09 09:48:35.615524,2026-01-09 10:15:31.349093,2026-01-09 10:15:31.349093
76,【投资市场】A股涨跌不一，中国石化涨停,,876,A股三大指数开盘涨跌不一，中国石化涨停,36氪-快讯,https://www.36kr.com/newsflashes/3631514055869444,2026-01-09 09:48:35.615560,2026-01-09 10:15:31.348014,2026-01-09 10:15:31.348014
75,【投资市场】MiniMax港股上市首日涨超42%,,877,恒指开盘涨0.47%，MiniMax港股上市首日涨超42%,36氪-快讯,https://www.36kr.com/newsflashes/3631509839021314,2026-01-09 09:48:35.615617,2026-01-09 10:15:31.346925,2026-01-09 10:15:31.346925
74,【投资市场】中国5航司购买空客148架飞机,,930,中国5家航空公司购买空客148架飞机,靠谱新闻,http://cn.nikkei.com/politicsaeconomy/investtrade/61000-2026-01-09-08-43-25.html,2026-01-09 09:48:35.621469,2026-01-09 10:15:31.345552,2026-01-09 10:15:31.345552
73,"【国际时局】特朗普称要""拥有""格陵兰岛",,869,特朗普放话必须“拥有”整个格陵兰 欧盟高官：“极其令人担忧”,财联社-深度,https://www.cls.cn/detail/2252516,2026-01-09 09:48:35.613470,2026-01-09 10:15:31.344476,2026-01-09 10:15:31.344476
72,【国际时局】中美贸易协议2026年有望保持有效,,923,报告：中美贸易协议有望在2026年保持有效,卫星通讯社,https://sputniknews.cn/20260109/1069240961.html,2026-01-09 09:48:35.619006,2026-01-09 10:15:31.343395,2026-01-09 10:15:31.343395
71,【国际时局】李在明下周访日与高市早苗峰会,,924,李在明下周访日与高市早苗举行峰会,靠谱新闻,https://www.zaobao.com.sg/realtime/world/story20260109-8074644,2026-01-09 09:48:35.621243,2026-01-09 10:15:31.342327,2026-01-09 10:15:31.342327
70,【国际时局】中国非盟关切委内瑞拉事态,,926,中国和非盟严重关切委内瑞拉事态 吁尊重各国主权领土完整,靠谱新闻,https://www.zaobao.com.sg/realtime/china/story20260109-8074660,2026-01-09 09:48:35.621313,2026-01-09 10:15:31.341258,2026-01-09 10:15:31.341258
69,【新能源车】小鹏汽车注册图灵AI座舱商标,,775,小鹏汽车成功注册图灵AI座舱商标,华尔街见闻,https://wallstreetcn.com/livenews/3033648,2026-01-09 09:18:34.421609,2026-01-09 10:15:31.340104,2026-01-09 10:15:31.340104
68,【新能源车】吉利考虑进军美国市场,,929,中国汽车巨头吉利考虑进军美国市场,靠谱新闻,https://cn.wsj.com/articles/%E4%B8%AD%E5%9B%BD%E6%B1%BD%E8%BD%A6%E5%B7%A8%E5%A4%B4%E5%90%89%E5%88%A9%E8%80%83%E8%99%91%E8%BF%9B%E5%86%9B%E7%BE%8E%E5%9B%BD%E5%B8%82%E5%9C%BA-f7a50a77,2026-01-09 09:48:35.621422,2026-01-09 10:15:31.338898,2026-01-09 10:15:31.338898
67,【数码新品】子系D9500性能机配置曝光,,916,子系 D9500 性能机配置曝光：3D 超声波指纹、电池有望 9 开头，预计为一加新机,it之家,https://www.ithome.com/0/911/749.htm,2026-01-09 09:48:35.618057,2026-01-09 10:15:31.337798,2026-01-09 10:15:31.337798
66,【数码新品】东擎发布NUC Ultra 300 BOX迷你主机,,918,东擎发表 NUC (S) Ultra 300 BOX 系列工业迷你主机，搭载 Panther Lake,it之家,https://www.ithome.com/0/911/748.htm,2026-01-09 09:48:35.618128,2026-01-09 10:15:31.336694,2026-01-09 10:15:31.336694
65,【数码新品】英特尔酷睿G3掌机处理器曝光,,920,英特尔酷睿 G3 掌机处理器曝光：基于 Panther Lake H12Xe，双 P 核,it之家,https://www.ithome.com/0/911/743.htm,2026-01-09 09:48:35.618201,2026-01-09 10:15:31.335603,2026-01-09 10:15:31.335603
64,【AI大模型】武岳峰5亿元投资黑芝麻智能,,879,武岳峰将向黑芝麻智能战略投资5亿元，长期赋能端侧AI和具身智能生态布局,36氪-快讯,https://www.36kr.com/newsflashes/3631501445334274,2026-01-09 09:48:35.615700,2026-01-09 10:15:31.334522,2026-01-09 10:15:31.334522
63,【AI大模型】天数智芯上市，跻身GPU市场前五,,881,刚刚，天数智芯上市敲钟，跻身中国通用GPU市场前五，出货超5.2万片,36氪-热榜,https://36kr.com/p/3630245654004999,2026-01-09 09:48:35.616779,2026-01-09 10:15:31.333400,2026-01-09 10:15:31.333400
62,【AI大模型】AI眼镜热销，Meta暂停国际扩张计划,,882,AI眼镜卖得太好，Meta暂停国际扩张计划,36氪-热榜,https://36kr.com/p/3630176222069765,2026-01-09 09:48:35.616856,2026-01-09 10:15:31.332101,2026-01-09 10:15:31.332101
61,【数码新品】荣耀Magic8 Pro Air轻薄手机1月19日发布,,921,荣耀 Magic8 Pro Air 轻薄手机官宣 1 月 19 日发布，方飞称做好 Air 的决心从没动摇,it之家,https://www.ithome.com/0/911/742.htm,2026-01-09 09:48:35.618238,2026-01-09 10:15:31.330979,2026-01-09 10:15:31.330979
60,【AI大模型】小鹏2026年量产人形机器人和飞行汽车,,932,小鹏2026年量产人形机器人和飞行汽车,靠谱新闻,https://www.zaobao.com.sg/realtime/china/story20260109-8074584,2026-01-09 09:48:35.621543,2026-01-09 10:15:31.329838,2026-01-09 10:15:31.329838
59,【AI大模型】中国调查Meta收购AI初创公司Manus,,934,中国对Meta收购AI初创公司Manus展开调查,靠谱新闻,https://cn.nytimes.com/business/20260109/meta-manus-china-ai/,2026-01-09 09:48:35.621678,2026-01-09 10:15:31.293494,2026-01-09 10:15:31.293494
58,【投资市场】特朗普旗下加密企业World Liberty申请银行牌照,,638,特朗普旗下加密企业World Liberty申请银行牌照,36氪-快讯,https://www.36kr.com/newsflashes/3631389185950977,2026-01-09 07:48:36.494798,2026-01-09 08:15:29.430782,2026-01-09 08:15:29.430782
57,【投资市场】高盛：机构投资者对石油看空程度近10年最高,,639,高盛调查发现机构投资者对石油的看空程度接近10年来最高水平,36氪-快讯,https://www.36kr.com/newsflashes/3631386937656326,2026-01-09 07:48:36.494824,2026-01-09 08:15:29.429392,2026-01-09 08:15:29.429392
56,【投资市场】特朗普：已决定下任美联储主席人选,,640,谁是下任美联储主席，特朗普：心中已有决定,36氪-快讯,https://www.36kr.com/newsflashes/3631385770837251,2026-01-09 07:48:36.494850,2026-01-09 08:15:29.428291,2026-01-09 08:15:29.428291
55,【国际时局】特朗普称必须拥有格陵兰，白宫流出购岛方案,,615,特朗普称美国必须拥有整个格陵兰，白宫“购岛”方案流出,华尔街见闻,https://wallstreetcn.com/articles/3762902,2026-01-09 07:48:36.489715,2026-01-09 08:15:29.427198,2026-01-09 08:15:29.427198
54,【国际时局】特朗普怒批参院限制对委动武决议,,651,美参院推进决议案限总统对委动武 特朗普：愚蠢至极,靠谱新闻,https://www.zaobao.com.sg/realtime/world/story20260109-8074318,2026-01-09 07:48:36.499025,2026-01-09 08:15:29.426095,2026-01-09 08:15:29.426095
53,【国际时局】美参院通过程序性表决限制特朗普对委动武,,652,限制川普对委内瑞拉再动武　美参院通过关键程序性表决,靠谱新闻,https://www.rfi.fr/cn/%E5%9B%BD%E9%99%85%E6%8A%A5%E9%81%93/20260108-%E9%99%90%E5%88%B6%E5%B7%9D%E6%99%AE%E5%AF%B9%E5%A7%94%E5%86%85%E7%91%9E%E6%8B%89%E5%86%8D%E5%8A%A8%E6%AD%A6-%E7%BE%8E%E5%8F%82%E9%99%A2%E9%80%9A%E8%BF%87%E5%85%B3%E9%94%AE%E7%A8%8B%E5%BA%8F%E6%80%A7%E8%A1%A8%E5%86%B3,2026-01-09 07:48:36.499176,2026-01-09 08:15:29.424930,2026-01-09 08:15:29.424930
52,【新能源车】零跑朱江明：5年内新能源车占比将达80-90%,,621,零跑汽车创始人朱江明：预计未来3到5年内中国新能源汽车销售占比会扩大到80-90%,华尔街见闻,https://wallstreetcn.com/livenews/3033610,2026-01-09 07:48:36.490893,2026-01-09 08:15:29.423715,2026-01-09 08:15:29.423715
51,【数码新品】苹果CEO库克2025年薪酬7430万美元,,610,苹果 CEO 库克 2025 年薪酬 7430 万美元微降 0.4%，绩效奖励仍高达 1200 万美元,it之家,https://www.ithome.com/0/911/709.htm,2026-01-09 07:18:36.005517,2026-01-09 08:15:29.422533,2026-01-09 08:15:29.422533
50,【数码新品】苹果胜诉：Apple Watch心率算法不构成垄断,,612,苹果再胜诉 AliveCor：法院裁定 Apple Watch 心率算法调整不构成垄断,it之家,https://www.ithome.com/0/911/707.htm,2026-01-09 07:18:36.005570,2026-01-09 08:15:29.421062,2026-01-09 08:15:29.421062
49,【数码新品】思特威发布1500万像素5K监控传感器,,646,思特威推出 1500 万像素 5K 图像传感器 SCC85HAI：用于监控摄像头行业、第二季度量产,it之家,https://www.ithome.com/0/911/717.htm,2026-01-09 07:48:36.496504,2026-01-09 08:15:29.419959,2026-01-09 08:15:29.419959
48,【数码新品】美国95后追捧iPhone 4复古画质，拒绝AI磨皮,,647,拒绝 AI 磨皮：美国 95 后掀起复古风，爱上苹果 iPhone 4“渣画质”,it之家,https://www.ithome.com/0/911/715.htm,2026-01-09 07:48:36.496530,2026-01-09 08:15:29.418861,2026-01-09 08:15:29.418861
47,【AI大模型】a16z预测：AI芯片产能爆发价格将崩塌,,526,“短缺终将导致过剩”！a16z安德森2026年展望：AI芯片将迎来产能爆发与价格崩塌,华尔街见闻,https://wallstreetcn.com/articles/3762810,2026-01-09 06:18:34.240699,2026-01-09 08:15:29.417755,2026-01-09 08:15:29.417755
46,【AI大模型】马斯克X平台现不当AI内容，英国首相敦促整顿,,606,马斯克 X 平台涌现大量涉未成年不当 AI 内容，英国首相斯塔默敦促整顿,it之家,https://www.ithome.com/0/911/713.htm,2026-01-09 07:18:36.005382,2026-01-09 08:15:29.416279,2026-01-09 08:15:29.416279
45,【AI大模型】OpenAI再出手：收购Convogo AI教练工具,,576,,,,,2026-01-09 08:15:29.415015,2026-01-09 04:15:44
44,【AI大模型】OpenAI拟收购AI教练工具Convogo核心团队,,603,OpenAI拟收购高管教练人工智能工具Convogo核心团队,36氪-快讯,https://www.36kr.com/newsflashes/3631369213756673,2026-01-09 07:18:36.003747,2026-01-09 08:15:29.398183,2026-01-09 04:15:44
43,【投资市场】嘉能可与力拓重启合并谈判，磋商早期阶段,,438,嘉能可与力拓重启合并谈判，相关磋商处于早期阶段。（英国金融时报）,华尔街见闻,https://wallstreetcn.com/livenews/3033526,2026-01-09 04:18:33.473358,2026-01-09 06:15:40.154132,2026-01-09 00:15:36
42,【投资市场】嘉能可与力拓重启矿业大项目谈判,,443,,,,,2026-01-09 06:15:40.152980,2026-01-09 00:15:36
41,【AI大模型】MiniMax上市在即，机构超额认购逾70倍,,445,,,,,2026-01-09 06:15:40.151902,2026-01-09 04:15:43
40,【AI大模型】英伟达OpenAI支持的Nscale拟融资20亿美元,,446,,,,,2026-01-09 06:15:40.150700,2026-01-09 04:15:44
39,【投资市场】嘉能可证实与力拓谈判合并，矿业格局或变,,448,,,,,2026-01-09 06:15:40.149602,2026-01-09 00:15:36
38,【AI大模型】MiniMax上市前夕超额认购70倍，机构争相入场,,445,,,,,2026-01-09 06:15:40.148484,2026-01-09 04:15:43
37,【AI大模型】AI数据中心Nscale考虑20亿美元融资，英伟达OpenAI支持,,457,AI数据中心公司Nscale考虑融资大约20亿美元,财联社-电报,https://www.cls.cn/detail/2252435,2026-01-09 04:48:34.218248,2026-01-09 06:15:40.147373,2026-01-09 04:15:44
36,【投资市场】嘉能可与力拓重启合并谈判，矿业巨头或联手,,458,,,,,2026-01-09 06:15:40.146280,2026-01-09 00:15:36
35,【AI大模型】OpenAI推出OpenAI for Healthcare，进军医疗领域,,459,财联社1月9日电，OpenAI推出OpenAI for Healthcare。,财联社-电报,https://www.cls.cn/detail/2252432,2026-01-09 04:48:34.218304,2026-01-09 06:15:40.144699,2026-01-09 04:15:43
34,【投资市场】特朗普：美联储主席人选已定，暂不公布,,461,特朗普：美联储主席人选已定，但我暂时不想说,财联社-热门,https://www.cls.cn/detail/2252430,2026-01-09 04:48:34.218885,2026-01-09 06:15:40.143509,2026-01-09 06:15:40.143509
33,【国际时局】中国伊朗军舰抵南非，准备参与联合演习,,467,中国伊朗军舰抵南非　准备参与演习,靠谱新闻,https://www.rfi.fr/cn/%E5%9B%BD%E9%99%85%E6%8A%A5%E9%81%93/20260108-%E4%B8%AD%E5%9B%BD%E4%BC%8A%E6%9C%97%E5%86%9B%E8%88%B0%E6%8A%B5%E5%8D%97%E9%9D%9E-%E5%87%86%E5%A4%87%E5%8F%82%E4%B8%8E%E6%BC%94%E4%B9%A0,2026-01-09 04:48:34.223443,2026-01-09 06:15:40.142419,2026-01-09 06:15:40.142419
32,【国际时局】联合国警告：美国欠费或失去联大投票权,,473,联合国发言人：美国若继续“欠费”或失去联大投票权,财联社-深度,https://www.cls.cn/detail/2252490,2026-01-09 05:18:43.802327,2026-01-09 06:15:40.141296,2026-01-09 06:15:40.141296
31,【国际时局】丹麦格陵兰外交官赴白宫会见特朗普政府官员,,474,丹麦与格陵兰岛的外交官们前往美国白宫，会见特朗普政府的官员们。（美联社）,华尔街见闻,https://wallstreetcn.com/livenews/3033546,2026-01-09 05:18:43.802386,2026-01-09 06:15:40.140079,2026-01-09 06:15:40.140079
30,【投资市场】癌症药企Revolution Medicines临时停牌，涨幅5.2%,,475,"癌症药品生产商Revolution Medicines（RVMD）美股尾盘暂停交易，临时停牌前涨幅5.2%。

Erasca Inc.（ERAS）临时停牌，暂停交易前涨幅扩大至22%。

据英国金融时报，Merck洽谈收购该公司，但双方还没有敲定最终协议。",华尔街见闻,https://wallstreetcn.com/livenews/3033545,2026-01-09 05:18:43.802422,2026-01-09 06:15:40.138996,2026-01-09 06:15:40.138996
29,【投资市场】默克拟收购Revolution Medicines，癌症药物领域整合,,482,财联社1月9日电，据报道，Merck洽谈收购癌症药品生产商Revolution Medicines公司，但双方还没有敲定最终协议。,财联社-电报,https://www.cls.cn/detail/2252437,2026-01-09 05:18:43.803586,2026-01-09 06:15:40.137900,2026-01-09 06:15:40.137900
28,【投资市场】默克洽谈收购癌症药企Revolution Medicines,,485,MERCK IN TALKS TO BUY CANCER DRUGMAKER REVOLUTION MEDICINES-FT,MK新闻,https://mktnews.net/flashDetail.html?id=019b9f58-4347-7444-a866-f7360d826d84,2026-01-09 05:18:43.806841,2026-01-09 06:15:40.136489,2026-01-09 06:15:40.136489
27,【国际时局】特朗普施压委内瑞拉：石油独家合作，切断中俄伊古巴,,487,"<b>TRUMP DEMANDS VENEZUELA PARTNER EXCLUSIVELY WITH THE US ON OIL AND CUT TIES WITH CHINA, IRAN, RUSSIA, AND CUBA, THREATENING BLOCKADE IF IGNORED<br/><br/>VENEZUELA FACES SEVERE CASH CRISIS, POTENTIAL SALARY DEFAULTS, AND RISK OF FAMINE, WHILE US CONTROLS OIL SALES TO LEVERAGE POLITICAL COMPLIANCE</b>",MK新闻,https://mktnews.net/flashDetail.html?id=019b9f4a-90dd-7444-a866-e17c372cbf3f,2026-01-09 05:18:43.806907,2026-01-09 06:15:40.135399,2026-01-09 06:15:40.135399
26,【AI大模型】AI数据中心公司NScale拟融资20亿美元加速扩张,,488,,,,,2026-01-09 06:15:40.134263,2026-01-09 04:15:44
25,【投资市场】Intel盘后涨2%，特朗普会见CEO释放积极信号,,492,,,,,2026-01-09 06:15:40.133072,2026-01-09 04:15:43
24,【投资市场】美股七巨头分化，英伟达跌2.2%谷歌涨1.1%,,494,美股七巨头收盘播报｜英伟达收跌约2.2%，谷歌A涨约1.1%，亚马逊涨超1.9%,华尔街见闻,https://wallstreetcn.com/livenews/3033564,2026-01-09 05:48:35.200701,2026-01-09 06:15:40.131987,2026-01-09 06:15:40.131987
23,【新能源车】电动车价格回报指数波动，市场持续调整中,,496,"周四（1月8日），彭博电动汽车价格回报指数跌0.94%，报3571.19点。

亚太早盘，指数持续下挫，北京时间10:00以来持续低位震荡，美股开盘刷新日低至3560.03点。

MobilEye Global跌8.5%，Ola Electric Mobility Ltd.跌4.37%，意法半导体跌2.79%，Sona Blw Precision Forgings Ltd.跌2.31%，MP材料、美国雅宝ALB、“特斯拉劲敌”Rivian至少跌超1%，宝马跌0.49%，特斯拉则涨1%，Lucid集团涨2.3%，Solid Power跌4.86%，沃尔沃汽车集团涨5.44%，微宏控股涨11.90%。",华尔街见闻,https://wallstreetcn.com/livenews/3033561,2026-01-09 05:48:35.200755,2026-01-09 06:15:40.130601,2026-01-09 06:15:40.130601
22,【新能源车】通用汽车电动车业务计提60亿美元，战略调整引关注,,498,,,,,2026-01-09 06:15:40.129519,2026-01-09 04:15:43
21,【新能源车】中概新能源车股普涨，小鹏理想蔚来表现亮眼,,500,"纳斯达克金龙中国指数初步收涨1.1%。

热门中概股里，阿里巴巴初步收涨5.3%，新东方涨5.6%，小鹏涨3.1%，京东涨2.2%，小米、文远知行、百胜中国、小马智行至少涨0.7%，理想跌0.7%，腾讯跌0.8%，蔚来跌1%，美团跌2%，百度跌3.9%。",华尔街见闻,https://wallstreetcn.com/livenews/3033554,2026-01-09 05:48:35.200915,2026-01-09 06:15:40.128420,2026-01-09 06:15:40.128420
20,【投资市场】Intel股价盘后涨2%，特朗普会见CEO提振信心,,503,,,,,2026-01-09 06:15:40.127305,2026-01-09 04:15:43
19,【新能源车】通用汽车因电动车业务裁员，计提60亿美元巨亏,,505,财联社1月9日电，通用汽车四季度因裁减电动汽车业务而计提60亿美元。非电动汽车相关计提大约11亿美元。,财联社-电报,https://www.cls.cn/detail/2252442,2026-01-09 05:48:35.201807,2026-01-09 06:15:40.126113,2026-01-09 04:15:43
18,【投资市场】Intel股价盘后上涨2%，特朗普会见CEO引关注,,508,,,,,2026-01-09 06:15:40.124995,2026-01-09 04:15:43
17,【投资市场】特朗普会见Intel CEO，美政府成股东，股价盘后涨2%,,510,"TRUMP: I JUST FINISHED A GREAT MEETING WITH THE VERY SUCCESSFUL INTEL CEO, LIP-BU TAN: TRADFIN <br/><br/>TRUMP: THE UNITED STATES GOVERNMENT IS PROUD TO BE A SHAREHOLDER OF INTEL",MK新闻,https://mktnews.net/flashDetail.html?id=019b9f75-119e-7444-a867-5925addd55a1,2026-01-09 05:48:35.204734,2026-01-09 06:15:40.123848,2026-01-09 04:15:43
16,【新能源车】比亚迪2025年在日本售出3870辆，加速海外市场布局,,524,比亚迪2025年在日本卖出3870辆,靠谱新闻,http://cn.nikkei.com/china/ccompany/60994-2026-01-09-05-00-48.html,2026-01-09 05:48:35.207800,2026-01-09 06:15:40.086748,2026-01-09 06:15:40.086748
15,【投资市场】嘉能可与力拓重启谈判，拟合并成2600亿美元矿业巨头,,424,,,,,2026-01-09 04:16:08.020787,2026-01-09 00:15:36
14,【投资市场】油价大涨：布伦特原油涨2美元/桶，供应担忧加剧,,430,"<b>OIL PRICES EXTEND GAINS, BRENT CRUDE UP BY $2 A BARREL AS INVESTORS ASSESS DEVELOPMENTS IN VENEZUELA AND WORRIES ABOUT SUPPLIES FROM RUSSIA, IRAQ AND IRAN</b>",MK新闻,https://mktnews.net/flashDetail.html?id=019b9f17-0d83-7444-a866-799b669b77f3,2026-01-09 03:48:42.355113,2026-01-09 04:16:08.019726,2026-01-09 04:16:08.019726
13,"【国际时局】特朗普创纪录1.5万亿军费，被指准备""世界大战""",,406,特朗普创纪录1.5万亿军费要打“世界大战”？军工股大反弹，无人机厂商两位数高涨,华尔街见闻,https://wallstreetcn.com/articles/3762893,2026-01-09 03:37:08.506625,2026-01-09 04:16:08.018654,2026-01-09 04:16:08.018654
12,【国际时局】美国突袭委内瑞拉，如何影响中国对台战略？,,423,【分析】美国突袭委内瑞拉，如何影响中国对台野心？,靠谱新闻,https://ici.radio-canada.ca/rci/zh-hans/%E6%96%B0%E9%97%BB/2219178/%E5%88%86%E6%9E%90-%E7%BE%8E%E5%9B%BD-%E7%AA%81%E8%A2%AD-%E5%A7%94%E5%86%85%E7%91%9E%E6%8B%89-%E5%BD%B1%E5%93%8D-%E4%B8%AD%E5%9B%BD-%E5%8F%B0%E6%B9%BE,2026-01-09 03:37:08.512737,2026-01-09 04:16:08.017574,2026-01-09 04:16:08.017574
11,【国际时局】特朗普：美国不需要遵守国际法，权力凌驾规则,,433,TRUMP SAYS HE DOESN'T NEED INTERNATIONAL LAW: NYT,MK新闻,https://mktnews.net/flashDetail.html?id=019b9f0f-8c9d-7444-a866-67e132e2e7fc,2026-01-09 03:48:42.355239,2026-01-09 04:16:08.016499,2026-01-09 04:16:08.016499
10,【国际时局】特朗普称美俄核条约到期则到期，不需延长,,434,"TRUMP SAYS IF U.S.–RUSSIA NUCLEAR TREATY EXPIRES, IT EXPIRES – NYT",MK新闻,https://mktnews.net/flashDetail.html?id=019b9f0f-632a-7444-a866-5856c9b1c1d9,2026-01-09 03:48:42.355259,2026-01-09 04:16:08.015418,2026-01-09 04:16:08.015418
9,【新能源车】比亚迪终结特斯拉时代，全球纯电销冠易主,,217,比亚迪终结特斯拉时代，全球纯电销冠易主，车市迎来“中国时刻”,36氪-热榜,https://36kr.com/p/3630098040734983,2026-01-09 03:18:35.897698,2026-01-09 04:16:08.014305,2026-01-09 04:16:08.014305
8,【新能源车】零跑A10纯电小型SUV完成申报，搭载激光雷达,,268,零跑 A10 纯电小型 SUV 完成申报，搭载激光雷达 + 高通 8650 芯片,it之家,https://www.ithome.com/0/911/688.htm,2026-01-09 03:18:35.898613,2026-01-09 04:16:08.013105,2026-01-09 04:16:08.013105
7,【新能源车】新一代小米SU7申报完成，可选装前后保险杠装饰件,,270,新一代小米 SU7 申报：可选装前后保险杠装饰件，提供多款轮毂,it之家,https://www.ithome.com/0/911/686.htm,2026-01-09 03:18:35.898647,2026-01-09 04:16:08.012004,2026-01-09 04:16:08.012004
6,【新能源车】蔚来ES9旗舰SUV完成申报，车长超5.3米二季度发布,,271,蔚来 ES9 旗舰 SUV 完成申报：车长超 5.3 米、双色车身 + 大饼轮毂，今年二季度发布,it之家,https://www.ithome.com/0/911/685.htm,2026-01-09 03:18:35.898664,2026-01-09 04:16:08.010929,2026-01-09 04:16:08.010929
